title,doi,year,Repository,TAGSUSPECTS_VALUE_TRUE,LANG_MISSING_IN_CATALOG,PDF_UA_IDENTIFIER_MISSING,INVALID_HEADING_ORDER,METADATA_MISSING_TITLE,CONTENT_NOT_MARKED,FIGURE_ALT_TEXT_MISSING,TABLE_HEADER_MISSING,FORMULA_ALT_TEXT_MISSING,File_Score,,
"Characterizing HCI Research in China: Streams, Methodologies and Future Directions",1903.08915v2,2019,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
The Review and Analysis of Human Computer Interaction (HCI) Principles,0707.3638v1,2007,arXiv,1,1,1,0,1,1,0,0,0,0.42,,0.461333333
"HCI Papers Cite HCI Papers, Increasingly So",2303.07539v1,2023,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Interaction in Metaverse: A Survey,2310.13699v1,2023,arXiv,1,0,1,0,0,0,1,1,0,0.56,,
HCI in e-Government and e-Democracy,2310.10988v2,2023,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Exploring the Referral and Usage of Science Fiction in HCI Literature,1803.08395v2,2018,arXiv,1,0,1,0,1,0,1,0,0,0.54,,
Re-Imagining HCI: New Materialist Philosophy and Figurations as Tool for Design,2003.02312v1,2020,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Using ChatGPT in HCI Research -- A Trioethnography,2309.12583v1,2023,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Transitioning to human interaction with AI systems: New challenges and opportunities for HCI professionals to enable human-centered AI,2105.05424v4,2021,arXiv,1,0,1,0,1,0,0,1,0,0.54,,
Building an Argument for the Use of Science Fiction in HCI Education,1811.01033v1,2018,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Is Physics Sick? [In Praise of Classical Physics],1209.0592v1,2012,arXiv,1,1,1,0,0,1,0,0,0,0.54,,
Modern Mathematical Physics: what it should be?,0002018v2,2000,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Topology in Physics,0503039v1,2005,arXiv,1,1,1,0,0,1,0,0,0,0.54,,
Contents of Physics Related E-Print Archives,0308107v1,2003,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
Fundamental Dilemmas in Theoretical Physics,1405.5530v1,2014,arXiv,1,1,1,0,1,1,0,0,0,0.42,,
The Quest for Understanding in Relativistic Quantum Physics,9910243v2,1999,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Physical structures. Forming physical fields and manifolds. (Properties of skew-symmetric differential forms),0404046v1,2004,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Quantum gloves: Physics and Information,0408095v1,2004,PubMed,1,1,1,0,0,1,0,0,0,0.54,,
B Physics (Experiment),1008.0247v2,2010,PubMed,1,1,1,0,0,1,0,0,0,0.54,,0.496470588
"Space, matter and topology",1607.00666v1,2016,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Can classical physics agree with quantum physics on quantum phenomena?,1504.03207v1,2015,PubMed,1,1,1,0,0,1,0,0,0,0.54,,
Methods for Analyzing Pathways through a Physics Major,1606.07170v1,2016,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
Topologization of electron liquids with Chern-Simons theory and quantum computation,0601285v1,2006,PubMed,1,0,1,0,1,0,0,0,0,0.64,,
The Physics of Flavor is the Flavor of Physics,0111051v1,2001,PubMed,1,1,1,0,1,1,0,0,0,0.42,,
